WigleWifi-1.4,appRelease=2.26,model=Feather,release=0.0.0,device=arduinoWardriving,display=3fea5e7,board=esp8266,brand=Adafruit
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
B8:27:EB:BE:A6:1A,beans,[WPA-PSK-CCMP+TKIP][ESS],2020-6-3 3:54:24,1,-81,33.756427,-118.039091,54.4,1,WIFI
52:78:71:F2:D7:31,SpectrumSetup-33,[WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:54:24,1,-80,33.756427,-118.039091,54.4,1,WIFI
30:23:03:D4:19:ED,VelopWifi,[WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:54:24,2,-90,33.756427,-118.039091,54.4,1,WIFI
B6:B6:86:14:CE:79,DIRECT-79-HP ENVY Photo 6200,[WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:54:24,6,-87,33.756427,-118.039091,54.4,1,WIFI
E8:AD:A6:37:7B:BE,Pebbles-2G,[WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:54:24,6,-87,33.756427,-118.039091,54.4,1,WIFI
8C:09:F4:BC:50:F0,Clainet Wifi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:54:24,6,-94,33.756427,-118.039091,54.4,1,WIFI
2C:30:33:CE:8B:5D,NETGEAR63,[WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:54:24,8,-87,33.756427,-118.039091,54.4,1,WIFI
EC:A9:40:57:41:8F,MySpectrumWiFi8E-2G,[WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:54:24,11,-50,33.756427,-118.039091,54.4,1,WIFI
14:B7:F8:F5:88:4B,TC8715D45,[WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:54:26,1,-91,33.756438,-118.039068,43.9,1,WIFI
98:DA:C4:83:34:FF,archer,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:54:26,10,-78,33.756438,-118.039068,43.9,1,WIFI
8C:61:A3:00:5F:FF,MySpectrumWiFiFE-2G,[WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:54:26,11,-83,33.756438,-118.039068,43.9,1,WIFI
A0:04:60:29:30:D0,NETGEAR_EXT,[ESS],2020-6-3 3:54:26,1,-92,33.756438,-118.039068,43.9,1,WIFI
98:1E:19:44:5C:4E,MySpectrumWiFi48-2G,[WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:54:26,11,-89,33.756438,-118.039068,43.9,1,WIFI
98:99:D2:01:00:00,SpectrumWiFiFE-2G,[WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:55:0,11,-84,33.756478,-118.039079,25.8,1,WIFI
7C:DB:98:75:6B:83,MySpectrumWiFi85-2G,[WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:55:35,6,-89,33.756493,-118.039073,22.8,1,WIFI
70:5A:9E:70:37:03,FergusonFar,[WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:55:52,11,-94,33.756504,-118.039052,19.8,1,WIFI
8C:3B:AD:0E:27:44,TC8715D45_EXT,[WPA2-PSK-CCMP+TKIP][ESS],2020-6-3 3:55:52,1,-93,33.756504,-118.039052,19.8,1,WIFI
